Id,Uid,Name,Country code,Country name,Country uid,Provider,Adm level,G0,G1,G2,G3,G4,Custom geo source
48534,gn_2498541,El Bayadh,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2498541,,,,
48492,gn_2497406,El Oued,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2497406,,,,
48491,gn_2497322,El Tarf,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2497322,,,,
48474,gn_2496045,Ghardaia,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2496045,,,,
48465,gn_2495659,Guelma,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2495659,,,,
48431,gn_2493455,Illizi,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2493455,,,,
48422,gn_2492910,Jijel,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2492910,,,,
48405,gn_2491887,Khenchela,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2491887,,,,
48392,gn_2491188,Laghouat,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2491188,,,,
48308,gn_2486682,M'Sila,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2486682,,,,
48365,gn_2490095,Mascara,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2490095,,,,
48351,gn_2488831,Medea,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2488831,,,,
48326,gn_2487449,Mila,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2487449,,,,
48315,gn_2487130,Mostaganem,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2487130,,,,
48306,gn_2486512,Naama,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2486512,,,,
48296,gn_2485920,Oran,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2485920,,,,
48288,gn_2485794,Ouargla,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2485794,,,,
48234,gn_2484618,Oum el Bouaghi,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2484618,,,,
48216,gn_2483666,Relizane,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2483666,,,,
48205,gn_2482557,Saida,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2482557,,,,
48188,gn_2481696,Setif,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2481696,,,,
48170,gn_2481001,Sidi Bel Abbes,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2481001,,,,
48144,gn_2479532,Skikda,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2479532,,,,
48137,gn_2479213,Souk Ahras,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2479213,,,,
48114,gn_2478217,Tamanrasset,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2478217,,,,
48100,gn_2477457,Tebessa,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2477457,,,,
48082,gn_2476893,Tiaret,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2476893,,,,
48072,gn_2476302,Tindouf,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2476302,,,,
48069,gn_2476027,Tipaza,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2476027,,,,
